Move code, Pile size, Human goes first, depth of tree, percent Wins
1,20,1,1,0.0
1,21,1,1,0.0
1,22,1,1,1.0
1,23,1,1,1.0
1,24,1,1,0.0
1,25,1,1,0.0
1,26,1,1,1.0
1,27,1,1,1.0
1,28,1,1,0.0
1,29,1,1,0.0
1,30,1,1,1.0
1,31,1,1,1.0
1,32,1,1,0.0
1,33,1,1,0.0
1,34,1,1,1.0
1,35,1,1,1.0
1,36,1,1,0.0
1,37,1,1,0.0
1,38,1,1,1.0
1,39,1,1,1.0
1,40,1,1,0.0
2,20,1,1,0.0
2,21,1,1,1.0
2,22,1,1,1.0
2,23,1,1,1.0
2,24,1,1,0.0
2,25,1,1,0.0
2,26,1,1,0.0
2,27,1,1,1.0
2,28,1,1,1.0
2,29,1,1,1.0
2,30,1,1,0.0
2,31,1,1,0.0
2,32,1,1,0.0
2,33,1,1,1.0
2,34,1,1,1.0
2,35,1,1,1.0
2,36,1,1,0.0
2,37,1,1,0.0
2,38,1,1,0.0
2,39,1,1,1.0
2,40,1,1,1.0
3,20,1,1,0.7
3,21,1,1,0.4
3,22,1,1,0.7
3,23,1,1,0.8
3,24,1,1,0.4
3,25,1,1,0.5
3,26,1,1,0.6
3,27,1,1,0.3
3,28,1,1,0.6
3,29,1,1,0.4
3,30,1,1,0.4
3,31,1,1,0.6
3,32,1,1,0.4
3,33,1,1,0.6
3,34,1,1,0.4
3,35,1,1,0.5
3,36,1,1,0.4
3,37,1,1,0.7
3,38,1,1,0.3
3,39,1,1,0.6
3,40,1,1,0.6
4,20,1,1,0.0
4,21,1,1,0.0
4,22,1,1,0.0
4,23,1,1,0.0
4,24,1,1,0.0
4,25,1,1,1.0
4,26,1,1,1.0
4,27,1,1,1.0
4,28,1,1,1.0
4,29,1,1,1.0
4,30,1,1,0.0
4,31,1,1,0.0
4,32,1,1,0.0
4,33,1,1,0.0
4,34,1,1,0.0
4,35,1,1,1.0
4,36,1,1,1.0
4,37,1,1,1.0
4,38,1,1,1.0
4,39,1,1,1.0
